,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,PHP
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,C++
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,Python
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,awsssmchaosrunner,Kotlin
53,basis-point-sets,Python
54,BayesPE,Python
55,buy-with-prime-cdk-constructs,TypeScript
56,buy-with-prime-monitoring-sample-cdk,TypeScript
57,chalet-charging-location-for-electric-trucks,Python
58,computer-vision-basics-in-microsoft-excel,
59,confident-sinkhorn-allocation,Jupyter Notebook
60,convolutional-handwriting-gan,Python
61,cosearcher,Python
62,credence-to-causal-estimation,Python
63,data-jack-knife,Java
64,debiased-balanced-interleaving,Jupyter Notebook
65,differential-privacy-bayesian-optimization,Python
66,distance-assistant,Python
67,drs-sample-android-app,Java
68,drs-sample-ios-app,Objective-C
69,emukit-playground,JavaScript
70,eslint-plugin-no-date-parsing,TypeScript
71,exoplayer-amazon-port,Java
72,explainable-text-vqa,
73,extremely-efficient-query-encoder,Python
74,faithful-data2text-cycle-training,Python
75,fashion-attribute-disentanglement,Python
76,fire-app-builder,Java
77,firetv-sample-touch-app,Java
78,ftv-integration-sdk-sample-app,Kotlin
79,ftv-livetv-sample-tv-app,Java
80,gameon-sample-game-unity,C#
81,gameon-starter-kit-unity,C#
82,git-commit-template,JavaScript
83,glad,JavaScript
84,golang-gitoperations,Go
85,halo-third-party-sdk-for-java,Java
86,halo-third-party-sdk-for-node-js,TypeScript
87,halo-third-party-sdk-for-python,Python
88,hawktracer,C++
89,image-misspell-coling2020,
